name,threshold_source,calibration_pr_auc,calibration_recall,threshold,precision,recall,specificity,balanced_accuracy,f1,mcc,roc_auc,pr_auc,brier,tn,fp,fn,tp,business_cost,business_cost_per_1000
random_forest,dedicated calibration engines,0.9598626053618143,0.9913978494623656,0.13,0.6579710144927536,0.9763440860215054,0.9091958445555983,0.9427699652885518,0.7861471861471861,0.760628970486397,0.9889593598861431,0.9494418594143065,0.02818380048352656,2363,236,11,454,228000.0,74412.53263707571
xgboost,dedicated calibration engines,0.9551346348845022,0.9935483870967742,0.03,0.5981554677206851,0.9763440860215054,0.8826471719892266,0.929495629005366,0.7418300653594772,0.7139404808395647,0.9885911454777891,0.9486062556809605,0.03262635482261517,2294,305,11,454,262500.0,85672.32375979112
logistic_regression,dedicated calibration engines,0.9623572532082133,0.9935483870967742,0.14,0.5937090432503277,0.9741935483870968,0.880723355136591,0.9274584517618438,0.737785016286645,0.7093048704953242,0.989066928140269,0.9581540986562546,0.04179503031369275,2289,310,12,453,275000.0,89751.95822454308
