feature,mutual_information,rf_importance,l1_abs_coef,mi_norm,rf_norm,l1_norm,consensus_score,selected_by_l1
sensor_11_mean_5,0.29946287715403286,0.08853023497178424,16.48260098528107,0.8191482603329423,1.0,0.3585487071630209,0.7258989891653211,True
sensor_7_mean_20,0.2567237087862866,0.002294578109767405,45.970326084001044,0.7022398950983815,0.025918581493641325,1.0,0.5760528255306743,True
sensor_17_ewm_10,0.2834794536764933,0.07117747727370195,0.044765608603218175,0.7754273368574867,0.8039906061063451,0.000973793584179031,0.5267972455160036,True
sensor_4_mean_5,0.29502228555048315,0.04075919571688692,6.384609665321473,0.8070015030404656,0.46039859410604095,0.13888545523159765,0.4687618507927014,True
sensor_11_min_5,0.2887996322926578,0.014625774139185574,19.448245614356946,0.7899801091393415,0.16520654377396607,0.42306085840721236,0.45941583710684,True
sensor_17_mean_10,0.28664524878226016,0.04239905202462253,4.196330542063632,0.7840870264260391,0.47892171570690706,0.09128346260576281,0.451430734912903,True
sensor_11_ewm_10,0.2944133597116738,0.03670308847978984,6.173320861810211,0.8053358523719325,0.41458252642713084,0.13428925543251038,0.4514025447438579,True
sensor_3_mean_10,0.28633211377984047,0.02814546832695669,10.958333490947533,0.7832304795481116,0.31791927736244036,0.23837841547879163,0.44650939079644786,True
sensor_8,0.14980258130088808,0.0007456597435738929,41.12109710005325,0.4097687333808951,0.008422656325396002,0.8945139311153274,0.4375684402738728,True
sensor_2_mean_10,0.2912712143529419,0.01698837771320961,14.288460871677048,0.7967408541244717,0.1918935120710346,0.31081921945839386,0.43315119521796674,True
sensor_4_ewm_10,0.2926113055406534,0.04249269208362377,0.3249863761112646,0.8004065283994729,0.47997943411272725,0.0070694816372940394,0.42915181471649805,True
sensor_3_mean_20,0.28150043754637566,0.04236810257986182,1.2982021200656002,0.770013952615797,0.4785721239005533,0.028240002424464217,0.42560869298027154,True
sensor_12_lag_3,0.22391929649885411,0.000583296393556002,28.264029956248525,0.6125069789123359,0.006588668760925647,0.6148320528464817,0.41130923350658105,True
sensor_4_max_10,0.3655783594441333,0.02038323396532305,0.0,1.0,0.2302403689747289,0.0,0.4100801229915763,False
sensor_15_mean_10,0.2908768463770679,0.030531235106125997,3.119163513715843,0.7956621032474405,0.3448678874043055,0.06785167257713665,0.4027938877429609,True
sensor_11_mean_10,0.29621306936580183,0.03197335009795158,1.472710168726044,0.8102587631724091,0.36115740693721093,0.032036104465193,0.4011507581916043,True
sensor_4_max_5,0.3506722514134363,0.007089826637401024,7.439270855061239,0.9592259562262877,0.08008367581607172,0.16182767208280285,0.4003791013750541,True
sensor_15_ewm_10,0.29559976285292233,0.03038649026537781,0.942399080929389,0.8085811296445053,0.34323291105081094,0.020500160890905016,0.39077140052874043,True
sensor_21_max_10,0.3547881965747325,0.0012427356171988378,7.336137553586221,0.9704846783441793,0.014037414648169794,0.15958419655716563,0.38136876318317153,True
sensor_21_max_5,0.3355686008785874,0.001280799274413428,8.028038131549005,0.9179115563317913,0.01446736558218371,0.1746352226625381,0.36900471485883773,True
sensor_21_mean_10,0.2905604613903967,0.005791856124426225,11.106495790307862,0.7947966663896564,0.06542235120320382,0.24160141413861394,0.3672734772438247,True
sensor_15_min_10,0.33053288098136147,0.0021181856991345028,7.701502766593667,0.9041368900608369,0.02392612760837692,0.16753204561831475,0.36519835442917614,True
